省份,平均占比(%),权重(%),数据天数
湖北省,64.53363636363636,64.71,11
河南省,5.161818181818182,5.18,11
湖南省,4.343636363636364,4.36,11
广东省,3.060909090909091,3.07,11
江西省,2.575454545454545,2.58,11
安徽省,2.309090909090909,2.32,11
江苏省,2.001818181818182,2.01,11
浙江省,1.5581818181818183,1.56,11
北京市,1.3845454545454545,1.39,11
山东省,1.299090909090909,1.3,11
四川省,1.260909090909091,1.26,11
上海市,1.1336363636363638,1.14,11
重庆市,1.1281818181818182,1.13,11
河北省,0.9127272727272728,0.92,11
广西壮族自治区,0.8763636363636365,0.88,11
陕西省,0.8736363636363635,0.88,11
福建省,0.8,0.8,11
贵州省,0.7745454545454545,0.78,11
云南省,0.6827272727272727,0.68,11
山西省,0.5245454545454545,0.53,11
海南省,0.39999999999999997,0.4,11
辽宁省,0.36727272727272725,0.37,11
甘肃省,0.3481818181818182,0.35,11
黑龙江省,0.2809090909090909,0.28,11
天津市,0.2563636363636364,0.26,11
新疆维吾尔自治区,0.24818181818181817,0.25,11
内蒙古自治区,0.20272727272727273,0.2,11
吉林省,0.18454545454545457,0.19,11
宁夏回族自治区,0.13454545454545455,0.13,11
青海省,0.08,0.08,11
西藏自治区,0.021818181818181816,0.02,11
